Coordinates,Intro Number,Enactment Date,Enactment Year,Enactment Number,Category,Borough,New Name,Present Name,Limits,Zip Code,Introduced by Council Member(s),Biographical Information,Notes
POINT (-74.13398839299998 40.63700212400005),Int. No. 289-A,05/23/2006,2006,2006/013,Intersection,Staten Island,Carmelo Tirone Way,,Port Richmond Avenue at the North side of New Street,10302,McMahon,Carmelo Tirone was born in Sicily in 1885 and came to New York in 1916 to work with his brothers in a shoe repair shop located at 19 Richmond Avenue in Staten Island. He married and raised five children. The shop was too small so he finally ended up movi,
POINT (-73.84519695899996 40.88965517300005),Int. No. 1227,08/03/2016,2016,2016/092,Intersection,Bronx,Honorable Samuel Bea Jr. Way,,At the intersection of Ely Street and Strang Avenue on the even side of the 4000 block,10466,King,Samuel Bea Jr. was an Assemblyman and district manager for a northeast Bronx community board for nearly 30 years.  He became Community Board 12’s district manager in 1977 and retired in 1996.  He was re-elected three times to the New York State Assembl,
POINT (-73.81838969299997 40.822523587000035),Int. No. 556-A,06/14/2007,2007,2007/028,Intersection,Bronx,Rev. Howard Weaving Way,,Cross Bronx Expressway and Edison Avenue,10465,Vacca,"During his years in the Bronx, Rev. Howard Weaving was on the Community Planning Board 10 for eleven years, member of Bronx-Westchester YMCA for 14 years, Vice-Moderator of Presbytery and active in many of the Presbytery committees.  He also served as th",
POINT (-74.11292500499997 40.62716800700008),Int. No. 1033,07/17/2009,2009,2009/046,Intersection,Staten Island,Jimmy O’ Hanlon Way,,At the intersection of Harvest Avenue and North Burgher Avenue,10310,Mitchell,Jimmy O’ Hanlon was a former Marine and Port Authority Police Officer who was a member of Team Romeo at Ground Zero rescue and recovery operations.  He also volunteered for local political organizations and charities.,
POINT (-73.94283498399994 40.816634014000044),Int. No. 988,07/29/2018,2018,2018/139,Intersection,Manhattan,New York Rens Court,,At the northeast corner of West 137th Street and Adam Clayton Jr. Boulevard,10001,Perkins,"This co-naming will commemorate the New York Rens basketball team which was the first all-black professional African-American owned basketball team.  Formed in Harlem in 1923, the Rens were immediately successful and helped shift the presence of African-",
POINT (-73.94143009299995 40.74740321400003),Int. No. 1045-A,07/01/2013,2013,2013/050,Intersection,Queens,Sculpture Street,,At the intersection of Purves Street and Jackson Avenue,11101,Van Bramer,"This co-naming would commemorate the SculptureCenter which has been an active contributor to New York City's cultural community since 1928. It was originally founded as ""The Clay Club"" by Dorothea Denslow, and was renamed in 1944 and in 1948 moved to a c",
POINT (-74.06288093599994 40.595346963000054),Int. No. 1449-A,03/18/2017,2017,2017/045,Intersection,Staten Island,The Honorable Frank V. Fossella Way,,At the intersection of Father Capodanno Boulevard and Ocean Avenue,10305,Matteo,"Frank V. Fossella was a former City Councilman, political mentor, teacher and first vice-chairman of the Democratic Party on Staten Island.  He taught mechanical engineering at Brooklyn Technical High School and later was the assistant principal at Brook",
POINT (-73.92282453099995 40.81753539300007),Int. No. 2477,01/15/2022,2022,2022/054,Intersection,Bronx,George Rodriguez Way,,At the intersection of 149th Street and Morris Avenue,10451,Salamanca,"George Rodriguez served in the United States Air Force and was a veteran of the Korean War. He returned to New York to defend his community, fighting against discrimination and for social justice. This cause led him to help establish the Bronx Legal Serv",
POINT (-74.10287501899995 40.638473016000034),Int. No. 428-A,12/20/2010,2010,2011/003,Intersection,Staten Island,Artie Evans Way,,At the intersection of Prospect Avenue and Brentwood Avenue,10301,Rose,"Artie Evans was a retired high school teacher and a legendary athlete who competed in the 1960 United States Olympic Trials in track and field.  He was a math teacher for over thirty-five years at Port Richmond High School.  As a young track star, he set",
POINT (-73.98557531399996 40.575199155000064),Int. No. 1825,01/19/2020,2020,2020/026,Intersection,Brooklyn,Martin ‘Marty’ J. Bromberger Way,,At the northeast corner of West 19th Street and Surf Avenue,11224,Treyger,"Martin ‘Marty’ J. Bromberger was very active in the Coney Island community. He was a member of the Astella Neighborhood Development Corporation to advocate for affordable housing, he was a member of the Shorefront Democratic Club and eventually becam",
POINT (-74.10467932099994 40.567866120000076),Int. No. 825,10/10/2008,2008,2008/048,Intersection,Staten Island,Vera D’Agostino Way,,At the intersection of Cuba Avenue and New Dorp Lane,10306,Oddo,"Vera D’Agostino lived on Cuba Avenue for nearly 25 years.  She was a dedicated wife, mother and friend, especially to her two daughters.  Ms. D’Agostino was instrumental in her two daughters taking positions in service to the public, one as a nurse a",
POINT (-73.88257522799995 40.75584730500003),Int. No. 968,07/20/2024,2024,2024/081,Intersection,Queens,Calle Perú,,At the intersection of 85th Street and Northern Boulevard,11370,Krishnan,This co-naming not only pays homage to the rich history and vibrant culture of the Peruvian community in our neighborhood but also acknowledges their significant contributions to the fabric of our City.,
POINT (-73.90248810599996 40.81728166800008),Int. No. 1744,12/01/2017,2017,2017/237,Intersection,Bronx,Lorraine Montenegro Way,,At the southwest corner of East 156th Street and Prospect Avenue,10455,Salamanca,"Lorraine Montenegro was a community activist who fought for the welfare of South Bronx residents and created United Bronx Parents, a social service agency with her mother, Evelina Antonetty, in the mid-1960s.  Their advocacy work and activism thr",
POINT (-73.94395002799996 40.79543500700004),Int. No. 590-A,07/11/2011,2011,2011/047,Intersection,Manhattan,Young Lords Way,,At the intersection of East 111th Street and Lexington Avenue,10029,Mark-Viverito,"In 1969, the New York State chapter of the National Young Lords Organization was formed as a human rights organization and began establishing its signature “serve the people” programs.  The Young Lords brought public awareness to poverty, lack of hea",
POINT (-74.14536447999996 40.54200833700003),Int. No. 457,12/05/2006,2006,2006/050,Intersection,Staten Island,Christopher Dylan Damiano Avenue,,On the Corner of Hartford Street and Nelson Avenue,10308,Lanza,"Christopher Dylan Damiano was a playful and happy little three-year-old who was looking forward every day to sing Happy Birthday to anyone who happened to have a birthday. It was his favorite song. He died suddenly and accidentally in March 2006, and his",
POINT (-73.94959864099997 40.806910118000076),Int. No. 1102-A,07/23/2023,2023,2023/110,Intersection,Manhattan,The Black Panther Party Way,,At the intersection of West 122nd Street and Adam Clayton Powell Jr. Boulevard,10027,Richardson Jordan,"The Black Panther Party for Self-Defense was founded in October 1966 in Oakland, California by Huey P. Newton and Bobby Seale as part of the Black Power Movement as an organization with an ideology of Black nationalism, socialism, and armed self-defense,",
POINT (-74.15483747299999 40.539652499000056),Int. No. 457,12/05/2006,2006,2006/050,Intersection,Staten Island,James (Jimmy) Carsten Road,,On the Corner of Beach Road and Hillcrest Street,10312,Lanza,"James Carsten lived a typical Staten Island childhood. He was a delivery boy for the Advance, played Little League for a Great Kills team and was a Boy Scout. Nothing could prepare his family to learn that their son had non Hodgkins Lymphoma. Shortly aft",
POINT (-74.14590871599995 40.610437113000046),Int. No. 289-A,05/23/2006,2006,2006/013,Intersection,Staten Island,SI Borough President (1977-1984) Anthony R. Gaeta Place,,Underneath the Stewart Avenue sign at the Northeast corner of Victory Blvd,10314,McMahon,"Anthony R. Gaeta, a former councilman of the City of New York, was elected Borough President of Staten Island on June 10, 1977.  He attended New York University and Cornell University where he studied Business Administration and Real Estate procedure. Am",
POINT (-74.00658161999996 40.65204279500006),Int. No. 988,07/29/2018,2018,2018/139,Intersection,Brooklyn,Firefighter    Thomas Phelan   Marine Pilot,,At the northeast corner of 40th Street and 4th Avenue,11232,Menchaca,"Thomas Patrick Phelan was a ferry captain who turned his boat into a rescue vessel during the 9/11 attacks and later became a firefighter.  On 9/11, he used his Statue of Liberty tour boat to join the effort in evacuating New Yorkers to safety.  In 2003,",
POINT (-74.10755262399994 40.580733906000034),Int. No. 935,10/02/2012,2012,2012/048,Intersection,Staten Island,Kevin J. Walsh Way,,At the intersection of Midland Avenue and North Railroad Avenue,10306,Oddo,"Kevin J. Walsh established his business, Walsh Electrical Contracting in 1976.  He was active in the Staten Island community and volunteered with churches, schools and non-profit organizations.  He received the Holy Rosary R.C. Church Spirit of Community",
POINT (-73.86009903599995 40.85469589000007),Int. No. 757,12/26/2001,2001,2001/071,Intersection,Queens,Harold Rapkin Plaza,,the west side of Paulding Avenue at its intersection with the Esplanade,10462,"Provenzano, Abel and Golden; also, Council Members Berman and O’Donovan","The following biographical information was supplied by the Rapkin family. 

Harold Rapkin was born to Nathan and Hattie Rapkin in the Bronx on February 16, 1917. He attended James Monroe High School and went on to attend City College. He met and married",
POINT (-73.90613767099995 40.810734883000066),Int. No. 590-A,07/11/2011,2011,2011/047,Intersection,Bronx,Police Officer Kenneth Mahon Place,,At the intersection of East 147th Street and Southern Boulevard,10455,Arroyo,"Officer Kenneth Mahon joined the New York City Police Department in 1968 after serving in the United States Army in the Vietnam War.  While serving as an officer, he was decorated by the department thirty-six times, including eighteen excellent police ci",
POINT (-73.91443885599995 40.84653020600007),Int. No. 1054,02/25/2016,2016,2016/023,Intersection,Bronx,Loretta Ruddock Smith Way,,At the intersection of West 174th Street and Davidson Avenue,10453,Cabrera,"Loretta V. Ruddock was born in Westmoreland, Jamaica, where she completed her formative years and attended primary school.  She continued her education throughout her youth after moving to England and studied further after migrating to the United State",
POINT (-74.10563585099999 40.630465455000035),Int. No. 1744,12/01/2017,2017,2017/237,Intersection,Staten Island,Dennis M. Hogan Way,,At the southwest corner of Forest Avenue and City Boulevard,10310,Rose,"Dennis M. Hogan was born in Brooklyn and grew up in New Dorp.  He attended Our Lady Queen of Peace School and Monsignor Farrell High School before relocating to the North Shore.  He had a long career in telecommunications and worked for Verizon, Time War",
POINT (-74.10602426799994 40.64140171300005),Int. No. 746-A,12/29/2005,2005,2005/131,Intersection,Staten Island,Sgt. Doreen Scrimenti Place,,NW corner of Kissel Avenue and Linden Street,10310,McMahon,"Sgt. Doreen Scrimenti was a native of New Brighton, attended St. Paul’s Elementary School and graduated from Moore Catholic High School.  She earned a BA in 1988 from John Jay College of Criminal Justice.  She was a member of the college’s Police Cad",
POINT (-73.79917159399997 40.69674278200006),Int. No. 388,07/09/2014,2014,2014/034,Intersection,Queens,92nd Infantry Division Avenue,,At the southwest corner of Tuskegee Airmen Way and 155th Street,11435,Wills,The 92nd Infantry Division was a unit of the United States Army during WWI and WWII.  The unit was formed in Kansas consisting of African-American draftees who served oversees and saw combat during WWII.  The unit also served in the Italian Campaign from,
POINT (-73.91857901299994 40.86847998200005),Int. No. 471-A,12/21/2004,2004,2004/063,Intersection,Manhattan,Joe English Way,,the northeast corner of the intersection of West 212th Street and Broadway,10034,Martinez,"Joe English was born in Brooklyn, New York. His family moved to Inwood when he was 14 and he was raised on West 212th Street and Broadway. Joe attended Chelsea High School and after graduating he joined local 32B-J. Later, he married Margaret English and",
